species,order,brain_mass_g,body_mass_g
Ailurus_fulgens,Carnivora,46.8,5590
Arctocephalus_australis,Carnivora,307.5,103750
Arctocephalus_forsteri,Carnivora,320,109690
Arctocephalus_galapagoensis,Carnivora,291.25,45950
Arctocephalus_gazella,Carnivora,340,96600
Arctocephalus_philippii,Carnivora,415,140000
Arctocephalus_pusillus,Carnivora,369.38,178750
Arctocephalus_tropicalis,Carnivora,326.25,101250
Bassariscus_sumichrasti,Carnivora,41.9,2722
Callorhinus_ursinus,Carnivora,334.83,150916.67
Canis_mesomelas,Carnivora,54.8,8000
Crocuta_crocuta,Carnivora,175,62370
Cystophora_cristata,Carnivora,455,282840
Erignathus_barbatus,Carnivora,460,281000
Eumetopias_jubatus,Carnivora,661.25,643775
Genetta_tigrina,Carnivora,15.35,1525
Halichoerus_grypus,Carnivora,307.5,194000
Helarctos_malayanus,Carnivora,385.5,45020
Hydrurga_leptonyx,Carnivora,712.5,345500
Ichneumia_albicauda,Carnivora,28.3,4400
Leopardus_pardalis,Carnivora,63.1,9525.5
Leptailurus_serval,Carnivora,54.1,11340
Leptonychotes_weddellii,Carnivora,564.17,378666.67
Lobodon_carcinophagus,Carnivora,586.25,222250
Lynx_canadensis,Carnivora,69.5,14969
Lynx_rufus,Carnivora,65,6350
Melursus_ursinus,Carnivora,267,136080
Mephitis_mephitis,Carnivora,10.15,1980
Mirounga_leonina,Carnivora,1205,2006500
Monachus_monachus,Carnivora,480,280500
Monachus_schauinslandi,Carnivora,370,173000
Mustela_erminea,Carnivora,4.57,156.43
Mustela_putorius,Carnivora,7.87,915
Nasua_narica,Carnivora,44.17,6250
Nasua_nasua,Carnivora,37.5,3187.5
Neophoca_cinerea,Carnivora,388.75,189275
Odobenus_rosmarus,Carnivora,1410.25,1022225
Ommatophoca_rossii,Carnivora,495,179400
Otaria_byronia,Carnivora,506.25,222000
Otocyon_megalotis,Carnivora,26.09,3335
Panthera_leo,Carnivora,259.5,84000
Panthera_pardus,Carnivora,135,48000
Panthera_tigris,Carnivora,269.73,195000
Paradoxurus_hermaphroditus,Carnivora,25.95,2773.5
Phoca_caspica,Carnivora,162.5,62750
Phoca_fasciata,Carnivora,248.75,87580
Phoca_hispida,Carnivora,196.25,69085
Phoca_largha,Carnivora,253.75,91500
Phoca_sibirica,Carnivora,187.5,89500
Phoca_vitulina,Carnivora,315,73635
Phocarctos_hookeri,Carnivora,393.75,273500
Potos_flavus,Carnivora,33.08,2241.5
Procyon_lotor,Carnivora,41.07,4975.67
Puma_concolor,Carnivora,154,54432
Urocyon_cinereoargenteus,Carnivora,37.28,3749
Ursus_americanus,Carnivora,248,25990
Ursus_arctos,Carnivora,335.97,131022.67
Ursus_maritimus,Carnivora,507,317000
Vulpes_vulpes,Carnivora,49.64,3722.71
Zalophus_californianus,Carnivora,405,91000
Artibeus_jamaicensis,Chiroptera,0.93,37.5
Artibeus_lituratus,Chiroptera,1.05,58.7
Carollia_perspicillata,Chiroptera,0.47,16
