pop,indiv,flw_size,poll_trt,frtset
CBB,CBB1C-1.B,LF,S,1
CBB,CBB1C-13.B,LF,S,0
CBB,CBB1C-19.A,LF,S,1
CBB,CBB1C-20.A,LF,S,1
CBB,CBB1C-20.B,LF,S,0
CBV,CBV11C-1.A,LF,S,1
CBV,CBV11C-4.A,LF,S,0
CBV,CBV11C-7.A,LF,S,1
CBV,CBV11C-8.B,LF,S,1
CBV,CBV13C-2.A,LF,S,1
CBV,CBV13C-2.B,LF,S,1
CBV,CBV13C-3.B,LF,S,0
CBV,CBV13C-5.A,LF,S,1
CBV,CBV13C-5.B,LF,S,1
CBV,CBV13C-6.A,LF,S,0
CBV,CBV13C-10.A,LF,S,1
CBV,CBV13C-10.B,LF,S,1
CCO,CCO1C-2.A,LF,S,0
CCO,CCO1C-28.A,LF,S,1
CDW,CDW1C-9.B,LF,S,1
CDW,CDW1C-13.B,LF,S,0
CDW,CDW1C-17.A,LF,S,1
CDW,CDW1C-17.B,LF,S,0
CDW,CDW1C-22.B,LF,S,1
CDW,CDW1C-23.A,LF,S,0
CDW,CDW1C-31.A,LF,S,1
CDW,CDW1C-35.B,LF,S,0
CDW,CDW1C-36.A,LF,S,1
CGN1,CGN1C-9.A,LF,S,0
CGN1,CGN1C-25.A,LF,S,1
CGN1,CGN1C-32.B,LF,S,0
CGN1,CGN1C-33.A,LF,S,1
CGN1,CGN1C-42.A,LF,S,1
CMG,CMG1C-1.A,LF,S,0
CMG,CMG1C-10.A,LF,S,1
CMG,CMG1C-10.B,LF,S,0
CMG,CMG1C-16.B,LF,S,1
CMG,CMG1C-18.B,LF,S,1
CMG,CMG1C-26.A,LF,S,1
CMG,CMG1C-27.B,LF,S,0
CPD,CPD1C-1.A,LF,S,1
CPD,CPD1C-9.B,LF,S,1
CPD,CPD1C-18.A,LF,S,0
CPD,CPD1C-19.A,LF,S,1
CPD,CPD1C-24.B,LF,S,1
CPD,CPD1C-26.A,LF,S,1
CPD,CPD1C-26.B,LF,S,1
CPM,CPM1C-12.A,LF,S,0
CPM,CPM1C-16.B,LF,S,1
CPM,CPM1C-23.A,LF,S,1
CZB,CZB1C-1.A,LF,S,0
CZB,CZB1C-3.B,LF,S,1
CZB,CZB1C-4.B,LF,S,0
CZB,CZB1C-6.B,LF,S,1
CZB,CZB1C-7.A,LF,S,1
CZB,CZB1C-9.A,LF,S,0
CBB,CBB1C-1.B,LF,X,1
CBB,CBB1C-13.B,LF,X,1
CBB,CBB1C-19.A,LF,X,1
CBB,CBB1C-20.A,LF,X,1
CBB,CBB1C-20.B,LF,X,1
CBV,CBV11C-1.A,LF,X,1
CBV,CBV11C-4.A,LF,X,1
CBV,CBV11C-7.A,LF,X,1
CBV,CBV11C-8.B,LF,X,0
CBV,CBV13C-2.A,LF,X,1
CBV,CBV13C-2.B,LF,X,1
CBV,CBV13C-3.B,LF,X,1
CBV,CBV13C-5.A,LF,X,1
CBV,CBV13C-5.B,LF,X,1
CBV,CBV13C-6.A,LF,X,1
CBV,CBV13C-10.A,LF,X,1
CBV,CBV13C-10.B,LF,X,0
CCO,CCO1C-2.A,LF,X,1
CCO,CCO1C-28.A,LF,X,0
CDW,CDW1C-9.B,LF,X,1
CDW,CDW1C-13.B,LF,X,1
CDW,CDW1C-17.A,LF,X,1
CDW,CDW1C-17.B,LF,X,1
CDW,CDW1C-22.B,LF,X,1
CDW,CDW1C-23.A,LF,X,1
CDW,CDW1C-31.A,LF,X,1
CDW,CDW1C-35.B,LF,X,1
CDW,CDW1C-36.A,LF,X,1
CGN1,CGN1C-9.A,LF,X,1
CGN1,CGN1C-25.A,LF,X,1
CGN1,CGN1C-32.B,LF,X,1
CGN1,CGN1C-33.A,LF,X,1
CGN1,CGN1C-42.A,LF,X,1
CMG,CMG1C-1.A,LF,X,1
CMG,CMG1C-10.A,LF,X,1
CMG,CMG1C-10.B,LF,X,1
CMG,CMG1C-16.B,LF,X,1
CMG,CMG1C-18.B,LF,X,1
CMG,CMG1C-26.A,LF,X,1
CMG,CMG1C-27.B,LF,X,1
CPD,CPD1C-1.A,LF,X,1
CPD,CPD1C-9.B,LF,X,1
CPD,CPD1C-18.A,LF,X,1
CPD,CPD1C-19.A,LF,X,1
CPD,CPD1C-24.B,LF,X,1
CPD,CPD1C-26.A,LF,X,0
CPD,CPD1C-26.B,LF,X,1
CPM,CPM1C-12.A,LF,X,1
CPM,CPM1C-16.B,LF,X,1
CPM,CPM1C-23.A,LF,X,1
CZB,CZB1C-1.A,LF,X,1
CZB,CZB1C-3.B,LF,X,1
CZB,CZB1C-4.B,LF,X,1
CZB,CZB1C-6.B,LF,X,1
CZB,CZB1C-7.A,LF,X,1
CZB,CZB1C-9.A,LF,X,1
BBF,BBF1C-37.A,SF,S,1
BES,BES1C-9.A,SF,S,1
BES,BES1C-15.B,SF,S,1
BES,BES1C-23.A,SF,S,1
BSM,BSM1C-1.A,SF,S,0
BSM,BSM1C-6.B,SF,S,1
CAM,CAM1C-1.B,SF,S,1
CAM,CAM1C-3.A,SF,S,1
CAM,CAM1C-5.B,SF,S,1
CAM,CAM1C-7.A,SF,S,1
CAM,CAM1C-7.B,SF,S,0
CAM,CAM1C-8.B,SF,S,1
CAM,CAM1C-10.A,SF,S,1
CAM,CAM1C-11.A,SF,S,0
CAM,CAM1C-12.A,SF,S,0
CAS,CAS1C-5.B,SF,S,1
CAS,CAS1C-21.A,SF,S,1
CAS,CAS1C-21.B,SF,S,1
CAS,CAS1C-23.A,SF,S,1
CAS,CAS1C-23.B,SF,S,1
CAS,CAS1C-25.A,SF,S,1
CAS,CAS1C-26.A,SF,S,0
CAS,CAS1C-28.A,SF,S,1
CAS,CAS1C-29.B,SF,S,1
CGB,CGB1C-23.B,SF,S,1
CGB,CGB1C-33.B,SF,S,1
CGN2,CGN2C-3.A,SF,S,1
CGN2,CGN2C-3.B,SF,S,1
CGN2,CGN2C-9.A,SF,S,1
CGN2,CGN2C-11.B,SF,S,1
CGN2,CGN2C-15.B,SF,S,0
CGN2,CGN2C-16.B,SF,S,1
CGN2,CGN2C-27.B,SF,S,1
CLL,CLL1C-7.A,SF,S,1
CLL,CLL1C-11.B,SF,S,1
CLL,CLL1C-40.B,SF,S,1
CLL,CLL1C-70.B,SF,S,1
CMA,CMA1C-3.A,SF,S,1
CMA,CMA1C-4.A,SF,S,1
CMA,CMA1C-5.A,SF,S,1
CMA,CMA1C-7.A,SF,S,1
CMA,CMA1C-8.B,SF,S,1
CMA,CMA1C-12.B,SF,S,1
CMA,CMA1C-14.B,SF,S,1
CMA,CMA1C-16.B,SF,S,1
CMA,CMA1C-19.B,SF,S,0
CMA,CMA1C-21.B,SF,S,1
CMA,CMA1C-25.B,SF,S,1
CMC,CMC1C-2.A,SF,S,1
CMC,CMC1C-33.B,SF,S,1
